phrase,translation,comment,source,idiom
"coincide, n. (with sth)",დამთხვევა,,1200,
It's a pity/shame (that) our trips to Rome don't coincide!,"სამწუხაროა, რომ ჩვენი გამგზავრებები რომში ერთმანეთს არ ემთხვევა!",,1200,
"coincidence, n.",დამთხვევა,,1200,
What a coincidence!,რა დამთხვევაა!,,1200,
"timid, adj.","მორცხვი, გაუბედავი",,1200,
"timidly, adj.","მორცხვად, გაუბედავად",,1200,
"timidity, n.","მორცხვობა, გაუბედაობა",,1200,
"tomb, n.","სამარხი, აკლდამა",,1200,
"so-called, adj.","ეგრეთწოდებული, ე.წ.",,1200,
"soil, n.",ნიადაგი,,1200,
"fertile, adj.",ნაყოფიერი,,1200,
"fertility, n.",ნაყოფიერება,,1200,
A goddess of fertility,ქალ-ღმერთი,,1200,
"ferry, n.",ბორანი,,1200,
"bribe, n.",ქრთამი,,1200,
take bribes,ქრთამების აღება,,1200,
"bribe, v. (sb into doing sth)",მოქრთამო ვინმე (რომ მან რაღაც გააკეთოს),,1200,
"bribery, n.",მექრთამეობა,,1200,
"brave, adj./courageous, adj.","მამაცი, გაბედული",,1200,
"bravely, adv./courageously, adv.","მამაცად, გაბედულად",,1200,
"bravery, n./courage, n.","სიმამაცე, გაბედულობა",,1200,
"priority, n.",პრიორიტეტი,,1200,
Education is our top priority.,განათლება ჩვენი მთავარი პრიორიტეტია.,,1200,
"merry, adj.",მხიარული,,1200,
"merry-go-round, n.",კარუსელი,,1200,
marry sb,დაქორწინდე ვინმეზე/ცოლად მოიყვანო ვინმე/გათხოვდე ვიღაცაზე,,1200,
"Londoner, n.",ლონდონელი,,1200,
"However, ...","თუმცა, ...",,1200,
choke sb,დაახრჩო ვინმე (ყელზე მოჭერით),,1200,
strangle sb,დაახრჩო ვინმე (ყელზე მოჭერით),,1200,
"drown, v.","დაიხრჩო/დაახრჩო ვინმე (აუზში, მდინარიში, ზღვაში)",,1200,
"prosper, v.",აყვავება,,1200,
"prosperous, adj.",აყვავებული,,1200,
"prosperity, n.",აყვავება,,1200,
be in your teens/twenties/.../sixties/seventies,იყო 13-19 /20-29 /... / 60-69/ 70-79 წლის,,1200,
My parents are in their forties,ჩემი მშობლები ორმოციან წლებში არიან,,1200,
In the fifties/sixties/seventies/eighties/nineties,50-იან/60-იან/70-იან/80-იან/90-იან წლებში,,1200,
"entire, adj.",მთლიანი,,1200,
"entirely, adv.",მთლიანად,,1200,
be busy doing sth,იყო დაკავებული რაღაცის კეთებით,,1200,
"-""What is Julia doing?"" - ""She's busy studying for her exams.""","- ""ახლა რას აკეთებს ჯულია?"" - ""ის დაკავებულია გამოცდებისთვის მზადებით.""",,1200,
"bud, n.","კვირტი, კოკორი",,1200,
"stem, n.","ღერო (მცენარის, ყვავილის)",,1200,
"thorn, n.",ეკალი,,1200,
"thorny, adj.",ეკლიანი,,1200,
"impress, v. (sb with sth)",შთაბეჭდილების მოხდენა (ვინმეზე რაღაცით),,1200,
Yesterday Julia impressed us all with her brilliant presentation.,გუშინ ჯულიამ თავისი ბრწყინვალე პრეზენტაციით თითოეულ ჩვენგანზე მოახდინა შთაბეჭდილება.,,1200,
We interviewed a number of candidates but none of them impressed us.,"ჩვენ გავესაუბრეთ რამდენიმე კანდიდატს, მაგრამ არცერთ მათგანს ჩვენზე შთაბეჭდილება არ მოუხდენია.",,1200,
You never fail to impress us!,შენ ყოველთვის ახერხებ ჩვენზე შთაბეჭდილების მოხდენას!,,1200,
"impressive, adj.",შთამბეჭდავი,,1200,
"impression, n.",შთაბეჭდილება,,1200,
I get the impression that ...,"ისეთი შთაბეჭდილება მრჩება, რომ ...",,1200,
"prophet, n.",წინასწარმეტყველი,,1200,
"melon, n.",ნესვი,,1200,
"watermelon, n.",საზამთრო,,1200,
spend time doing sth,გაატარო დრო რაღაცის კეთებაში,,1200,
How much time did you spend/have you spent studying these words?,რამდენი დრო დახარჯე ამ სიტყვების სწავლაში?,,1200,
On Saturday I spent the whole evening watching TV.,შაბათს მთელი საღამო ტელევიზორის ყურებაში გავატარე.,,1200,
save/waste time,დროის დაზოგვა/გაფლანგვა,,1200,
That's a waste of time!,ეს დროის ფუჭი გაფლანგვაა!,,1200,
"attack, n. (on sb/sth)","შეტევა, თავდასხმა (ვიღაცაზე/რაღაცაზე)",,1200,
attack sb/sth,თავს დაესხა ვიღაცას/რაღაცას,,1200,
"attacker, n.",თავდამსხმელი,,1200,
"terror, n.",ტერორი,,1200,
"terrorist, n.",ტერორისტი,,1200,
terrorist attack,ტერორისტული აქტი,,1200,
"terrorism, n.",ტერორიზმი,,1200,
"terrorise, v. (sb into doing sth)","დატერორება (ვიღაცის, რომ მან რაღაც გააკეთოს)",,1200,
"testimony, n.",ჩვენება (სასამართლო),,1200,
Can I refuse to give testimony?,შემოძლია ჩვენების მიცემაზე უარი ვთქვა?,,1200,
All our efforts were in vain,ყველა ჩვენი მცდელობა უშედეგო იყო,,1200,
"device, n.",მოწყობილობა,,1200,
"gadget, n.",მოწყობილობა,,1200,
"hive, n.",ფუტკრების სკა,,1200,
"measure, v.",გაზომვა,,1200,
This is a device which/that measures the level of radiation in the atmosphere.,"ეს არის მოწყობილობა, რომელიც ზომავს რადიაციის დონეს ატმოსფეროში.",,1200,
"measure, n.","ზომა, ღონისძიება",,1200,
take measures against sth,მიიღო ზომები რაღაცის წინააღმდეგ,,1200,
preventive/precautionary measures,აღმკვეთი ზომები/ღონისძიებები,,1200,
go somewhere by air/train/car/bus,წახვიდე სადმე თვითმფრინავით/მატარებლით/მანქანით/ავტობუსით,,1200,
You will save a lot of time if you go to London by air.,"ბევრ დროს დაზოგავ, თუ ლონდონში თვითმფრინავით გაფრინდები.",,1200,
There was a time when ...,"იყო დრო, როცა ...",,1200,
Nowadays,დღესდღეობით,,1200,
These days,დღესდღეობით,,1200,
In those days,იმ დროს (წარსულზე საუბრისას),,1200,
premonition (of sth)|(that...),წინათგრძნობა,,1200,
out of the blue,მოულოდნელად/უცაბედად/უეცრად,,1200,1
let's assume,დავუშვათ,,,
imported/exported goods,იმპორტირებული/ექსპორტირებული საქონელი,,,
hinder,ხელის შეშლა,,,
hamper,ხელის შეშლა,,,
impede,ხელის შეშლა,,,
illiterate,წერა-კითხვის არ მცოდნე,,,
illegitimate,არაკანონიერი,,,
bully,დააბულინგო,,,
insult,დიდი შეურაცხყობა,,,
imprison sb.,დააპატიმრო ვინმე,,,
furthermore,უფრო მეტიც,,,
moreover,უფრო მეტიც,,,
what's more,უფრო მეტიც,,,
slouch,მხრებში მოხრა,,,
Give me a break!,დამანებე თავი!,,,
once in a blue moon,ათასში ერთხელ,,,1
wink,თვალის ჩაკვრა,,,
crumble,დაჭმუჭვნა,,,
cut down on sth.,შეამცირო რამის რაოდენობა,,,
catch up with sb.,დაეწიო ვინმეს,,,
come up with sth.,მოიფიქრო რამე,,,
come up against a problem,წააწყდე პრობლემას,,,
drop in on sb.,შეუარო ვინმეს ცოტა ხნით,,,
face up to sth.,თვალი გაუსწორო რამეს,,,
feel up to doing sth.,გქონდეს რაღაცის გაკეთების ძალა და ენერგია,,,
get away with sth.,"შეგრჩეს (ცუდი საქციელი, მოპარული და ა.შ.)",,,
get on with doing sth.,გააგრძელო რაღაცის კეთება,,,
get out of doing sth.,"აიცილო თავიდან რამის გაკეთება, პასუხისმგებლობა",,,
get round to sth.,გამონახო დრო რაღაცისთვის,,,
get up to sth.,"გააკეთო რამე ცუდი, დააშაო რამე",,,
go in for sth.,გქონდეს რამე ჰობი,,,
grow out of doing sth.,გამოხვიდე რამის გაკეთების ასაკიდან,,,
keep up with sb.,არ ჩამორჩე ვინმეს,,,
make up for sth.,დააკომპენსიროს რაღაც,,,
stand up for sth.,"ხმა ამოიღო, დაიცვა რამე",,,
ask after sb.,მოიკითხო ვინმე,,,
call for sb.,მიაკითხო და აიყვანო ვინმე,,,
call on sb.,ეწვიო ვინმეს ცოტა ხნით.,,,
come into sth.,მემკვიდრეობით მიიღო რამე,,,
count on sb.,იყო ვიღაცის იმედზე,,,
get at sth.,შესთავაზო ვინმეს რამე,,,
get over sth.,"გამოჯანმრთელდე რაღაცისგან, გადალახო რამე",,,
go over sth.,განიხილო რაღაცის დეტალები,,,
join in sth.,მიიღო რაღაცაში მონაწილეობა,,,
live on sth.,თავი გაიტანო რაღაცით,,,
look round sth.,დაათვალიერო რამე,,,
make for sth.,რაღაცის მიმართულებით წასვლა,,,
pick on sb.,აირჩიო დასასჯელად ვინმე,,,
do without sth.,მოახერხო რამე რაღაცის გარეშე,,,
see about sth.,დააორგანიზო რამე,,,
see to sth.,მიხედო რამეს,,,
stand for sth.,აიტანო რამე,,,
eternal,მარადიული,,,
bliss,ნეტარება,,,
salvation,ხსნა,,,
eternal salvation,მარადიული ხსნა,,,
eternal damnation,მარადიული წყევლა,,,
euthanasia,ევთანაზია,,,
evade,"თავი აარიდო (მოვალეობას, პასუხისმგებლობას)",,,
distinguished guests,განსაკუთრებული სტუმრები,,,
lag behind,ჩამორჩე უკან,,,
be superior,"იყო უკეთესი, უმაღლესი",,,
be inferior,"იყო უარესი, უფრო ცუდი",,,
emissions,გამონაბოლქვი,,,
carbon dioxide,ნახშირორჟანგი,,,
I want to express my adminration for you!,მე მინდა გამოვხატო ჩემი აღფრთოვანება თქვენდამი.,,,
do up sth.,გაარემონტო / შეიკრა ტანსაცმელი,,,
Giorgi the Brilliant,გიორგი ბრწყინვალე,,,
to some extent,გარკვეულწილად,,,
pus,ჩირქი,,,
I'm for these changes.,მომხრე ვარ ამ ცვლილებების.,,,
I'm in favor of these changes.,მომხრე ვარ ამ ცვლილებების.,,,
I'm against these changes.,წინააღმდეგი ვარ ამ ცვლილებების.,,,
Are you enjoying this?,გსიამოვნებს?,,,
in anticipation of sth.,რაღაცის მოლოდინში,,,
in debt,ვალის ქონა,,,
in disgrace,სამარცხვინოდ,,,
in disguise,"გადაცმული, შენიღბული",,,
in fear of sth.,რაღაცის შიშით,,,
in good faith,გულწრფელად,,,
in hiding,მიმალვაში,,,
in high spirits,მაღალი სულისკვეთებით,,,
in honor of sth.,ვინმეს პატივსაცემად,,,
on watch,მეთვალყურეობის ქვეშ,,,
on schedule,"დროულად, დაგეგმილ დროზე",,,
on the road,"დიდ გზაზე, მოგზაურობაში",,,
on oath,"ფიცის ქვეშ, დაფიცებით",,,
on pain of death,მოკვლით დაშინებით,,,
an essential part of sth.,განუყოფელი ნაწილი,,,
medalist,მედალოსანი,,,
mobile property,მოძრავი ქონება,,,
immoveable property,უძრავი ქონება,,,
real estate,უძრავი ქონება,,,
mixture,ნაზავი,,,
I have mixed feelings about it,არაერთგვაროვანი გრძნობები მაქვს ამაზე.,,,
direct flight,პირდაპირი ფრენა,,,
charter flight,ჩარტერული ფრენა,,,
government expenditures,სახელმწიფო ხარჯები,,,
international community,საერთაშორისო საზოგადოება,,,
condemn,დაგმობა,,,
diligently,გულმოდგინედ,,,
milling around,ბირჟაობა,,,
counsellling,საკონსულტაციო,,,
befriend,დამეგობრება,,,
be admitted to somewhere,იყო დაშვებული სადმე,,,
ward,პალატა,,,
do rounds,ჩამოტარება,,,
coin (v),"გამოგონება (სიტყვის, ტერმინის)",,,
evident,აშკარა,,,
cone,ნაყინის კონუსი,,,
fir-cone,გირჩა,,,
cyber cafe,ინტერნეტ კაფე,,,
ice bucket,ყინულების ვედრო (შამპანურისთვის),,,
on an excursion,ექსკურსიაზე,,,
be an exact opposite,სრულიად საპირისპირო,,,
we have a fresh evidence.,ჩვენ გვაქვს ახალი მტკიცებულება.,,,
to what extent,რა წილად? რამდენად?,,,
embrase,ჩახუტება,,,
elbowing,ჯიკაობა იდაყვებით,,,
ground troops,ქვეითი ჯარისკაცები,,,
grounds for divorce,განქორწინების საფუძველი,,,
reasonable grounds,გონივრული საფუძველი,,,
going over the same grounds,ილაპარაკო ერთსა და იმავეზე,,,
common ground,ერთნაირი დამოკიდებულებები/შეხედულებები,,,
the middle/center ground,"არარადიკალური, ყველასთვის მისაღები შეხედულებები",,,
work under pressure,იმუშაო წნეხის ქვეშ,,,
We are in trouble.,შარში ვართ.,,,
Don't get into trouble.,შარში არ გაება.,,,
I'm dying of boredom.,მოწყენილობით ვკვდები.,,,
run a company,მართო კომპანია,,,
deel with these problems,გაუმკლავდე ამ პრობლემებს,,,
This news is surprising.,ეს სიახლე გამაკვირვებელია.,,,
Things where going well when I came here.,საქმეები კარგად მიდიოდა როცა მე აქ მოვედი.,,,
helpless,უსუსური,,,
helplessness,უსუსურობა,,,
sleeplessness,უძილობა,,,
suburb,გარეუბანი,,,
semi-detached,გვერდიგვერდ მიდგმული (შენობები),,,
semi-final,ნახევარფინალი,,,
Go with god!,ღმერთი თქვენკენ!,,,
pedestrians,ქვეითები,,,
unfurnished,ავეჯით გაუწყობელი,,,
live and let live,იცხოვრე და სხვასაც აცალე ცხოვრება,,,
You are inviting trouble.,შარს ეძებ.,,,
This will bring us together,ეს ჩვენ შეგვკრავს ერთად.,,,
soil,ნიადაგი,,,
let's discuss this in-depth.,"მოდი, განვიხილოთ ეს სიღრმისეულად.",,,
a miracle-performing icon,სასწაულმოქმედი ხატი,,,
Pull yourself together.,მოიკრიბე კონცენტრაცია.,,,
Collect yourself.,მოიკრიბე კონცენტრაცია.,,,
I'm strict by nature.,ბუნებით მკაცრი ვარ.,,,
"One at a time, please!","რიგრიგობით, თუ შეიძლება!",,,
Never mind [about] your car!,დაიკიდე რა შენი მანქანა!,,,
fallen angels,დაცემული ანგელოზები,,,
praise me for this,შემაქე ამისთვის,,,
gatecrasher,დაუპატიჟებელი სტუმარი,,,
get going,"მოხოდვა, დაწყება",,,
liven sth up,"გამოცოცხლება, გამხიარულება",,,
get carried away,დაკარგო თვითკონტროლი,,,
pop round/over/in,შეუარო ვინმეს ცოტა ხნით,,,
fancy [doing] sth.,გინდოდეს რამე (რამის გაკეთება),,,
be off,"დატოვო ადგილი, წახვიდე",,,
good of sb. to do sth.,,,,
warm welcome,თბილად დახვედრა,,,
Do you believe in god?,ღმერთის გწამს?,,,
We decided on this hotel.,ეს სასტუმრო გადავწყვიტეთ.,,,
I'll see you off at the airport.,მე გაგაცილებ აეროპორტში.,,,
be under strain,"დაძაბული, სტრესის ქვეშ ყოფნა",,,
act on impulse,იმოქმედო იმპულსურად,,,
rash decision,ნაჩქარევი გადაწყვეტილება,,,
trigger,"ჩახმახი, გამოწვევა, პროვოცირება",,,
drain pipe,ჟოლობი,,,
infinite,"ამოუწურავი, ულევი",,,
the privileged,პრივილეგირებულები,,,
the underprivileged,არაპრივილეგირებულები,,,
run away from a problem,გაექცე პრობლემას,,,
come/break out in a rash,გამოგაყაროს,,,
flag,"შესუსტება, დაღლა",,,
It had been a long day and children were beginning to flag.,დამღლელი (გრძელი) დღე იყო და ბავშვებმაც დაიწყეს შესუსტება.,,,
flag sb. down,გააჩერო ვინმე (მანქანა) ხელის დაქნევით,,,
deplete,გამოფიტვა,,,
use up,ამოწურვა (მარაგების),,,
stay resolute,"იყო მტკიცედ, არ დანებდე",,,
subjects,კვლევაში მონაწილე სუბიექტები,,,
radish,ბოლოკი,,,
whereas,მაშინ როცა (while),,,
persist,"გაუძლო, გააგრძელო",,,
tend to do sth.,მიდრეკილი იყო რამის გაკეთებისკენ,,,
impoverished,"ძალიან ღარიბი, ღატაკი",,,
after meal,ჭამის შემდეგ,,,
build up willpower,გამოიმუშაო ნებისყოფა,,,
have ants in your pants,მოუსვენრად იყო,,,1
This can trigger a fight-or-flight response.,"ამას შეუძლია გამოიწვიოს პანიკური უკურეაქცია (""იჩხუბე ან გაიქეცი"").",,,
work of art,ხელოვნების ნიმუში,,,
loss of memory,მეხსიერების დაკარგვა,,,
resist temptation,გაუმკლავდე ცდუნებას,,,
before use,გამოყენებამდე,,,
have a snack,წაუხემსო,,,
maintain,შენარჩუნება / შენახვა (მანქანის),,,
Are you among the living?,ცოცხლებში ხარ?,,,
the handicapped,ინვალიდები,,,
Will you be needing this laptop this evening?,დაგჭირდებათ ლეპტოპი ამ საღამოს? (თქვენობითი),,,
repulsive,განმზიდველი,,,
off-putting,განმზიდველი,,,
bed-wetting,ლოგინში ჩაფსმა,,,
sprinkle,"შესხურება, შესხმა",,,
abundance,სიუხვე,,,
in abundance,უხვად,,,
well-thought-out,კარგად გააზრებული,,,
next-door neighbor,კარის მეზობელი,,,
on the second floor,მეორე სართულზე,,,
political tension,პოლიტიკური დაძაბულობა,,,
slender,გამხდარი ადამიანი,,,
as a matter of fact,სხვათაშორის,,,
Pace yourself.,ტემპი აიღე.,,,
from start to finish,თავიდან ბოლომდე,,,
unfear,უსამართლო,,,
a tiny minority,სრული უმცირესობა,,,
a large number of people,დიდი რაოდენობით ხალხი,,,
I don't want you to burn out.,"არ მინდა, რომ გადაიწვა",,,
Don't try to control the uncontrolable things.,"ნუ ცდილობ, გააკონტროლო გაუკონტროლებელი რაღაცეები.",,,
First of all you should be able to identify your alies at work.,"უპირველეს ყოვლისა, თქვენ უნდა მოახდინოთ თქვენი მოკავშირეების გამოვლენა სამსახურში.",,,
How do you like our new action plan?,როგორ მოგწონს ჩვენი ახალი სამოქმედო გეგმა?,,,
Do you want to marry this person?,გინდა დაქორწინდე ამ ადამიანზე?,,,
When did you get married?,როდის დაქორწინდი?,,,
how dare you?,როგორ ბედავ?,,,
I haven't got round to buying a car.,ჯერ ვერ გამოვნახე დრო მანქანის საყიდლად.,,,
a pile of books,წიგნების დასტა,,,
If I wasn't sitting here I would be watching TV.,"აქ რომ არ ვიჯდე, ტელევიზორს ვუყურებდი.",,,
It's been (it is) more than 3 hours since I got here.,3 საათზე მეტია რაც აქ მოვედი.,,,
make a list,შეადგინო სია,,,
make a fortune,ძალიან დიდ ფულს აკეთებდე,,,
cultivate,გამოიმუშაო,,,
maternity (paternity) leave,დეკრეტი,,,
sick leave,ბიულეტენზე ყოფნა,,,
concessionary prices,შეღავათიანი ფასები,,,
concession,დათმობა,,,
make a concession,წახვიდე დათმობაზე,,,
unbearably loud,აუტანლად ხმამაღალი,,,
obsess about sth.,"ჩაიციკლო რაღაცაზე, შეგიპყროს რაღაცამ",,,
Done is better than perfect.,გაკეთებული ჯობია სრულყოფილს.,,,
get into great (top) shape,ჩადგე მაგარ ფორმაში,,,
suffer from terrible headache,გაწუხებდეს თავის ტკივილი,,,
tailor,"მკერავი, მორგება",,,
Let's meet at your earliest convenience.,"შევხვდეთ, როგორც კი შეძლებ.",,,
exploit,ექსპლუატაცია,,,
I owe you a favor.,შენთან ვალში ვარ.,,,
economize,გააკეთო ეკონომია,,,
substitute,"ჩანაცვლება, შეცვლა",,,
excel at sth.,იყო გამორჩეულად კარგი რაღაცაში,,,
read a map,წაიკითხო რუკა,,,
abide by sth.,იხელმძღვანელო რაღაცით,,,
skin irritation,კანის გაღიზიანება,,,
Based on what are you saying that?,რაზე დაყრდნობით ამბობ მაგას?,,,
invade a country,შეიჭრა ქვეყანაში,,,
Better late than never.,ჯობს გვიან ვიდრე არასდროს.,,,
all of whom,რომელთაგან ყველა,,,
cliff,კლდე,,,
ivy,სურო,,,
moor,ჭაობი,,,
saucer,ლამბაქი,,,
carton,"მუყაო, მუყაოს კონტეინერი",,,
a carton of milk,რძის კონტეინერი,,,
playful,მხიარული,,,
few calories,ცოტა კალორიები,,,
dosh,ფული,ბრიტანული სლენგი,,
fiver (5),5 ფუნტიანი,,,
tenner (10),10 ფუნტიანი,,,
score (20),20 ფუნტი,,,
bullseye (50),50 ფუნტი,,,
monkey (500),500 ფუნტი,,,
grand (1 000),1000 ფუნტი,,,
giant (1 000 000),1 000 000 ფუნტი,,,
Can I have a look at menu?,შეიძლება შევხედო მენიუს?,,,
wander off,დატყდე,,,
There is a light at the end of the tunnel.,იმედის ნაპერწკალი არის / გახვიდე ბოლოში რთული სამუშაოს შემდეგ,,,1
spark,ნაპერწკალი,,,
sparkle,"ბრჭყვიალი, ბრწყინვა, კაშკაში",,,
sparkling wine,ცქრიალა ღვინო (შამპანური),,,
flex your muscules,დაჭიმო კუნთები,,,
fasten your seatbelt,შეიკრა ღვედი / მოემზადო შესაძლო საფრთხისთვის,,,1
belt up,შეიკრა ღვედი,არაფორმალური,,
rotten egg,გათახსირებული,,,
spoiled child,გაფუჭებული ბავშვი,,,
squirt sth. up,ცხვირში შეისხა რამე,,,
burp,ბოყინი,,,
belch,ბოყინი,,,
coward,ლაჩარი,,,
dainty,კოხტა,,,
narrow-minded,უტვინო,,,
root cause,მთავარი მიზეზი,,,
soft in the head,გამოქლიავებული,,,
good egg,კარგი ტიპი,,,
suck/kiss up to sb.,შეეტენო ვინმეს,,,
flock of birds,ჩიტების გუნდი,,,
mussels,მიდიები,,,
prawns,კრევეტები,,,
courgette,ყაბაყი,,,
fig,ლეღვი,,,
prone,მიდრეკილი,,,
proofread,გადახედო და გაასწორო ტექსტი,,,
fertile soil,ნაყოფიერი ნიადაგი,,,
evergreen,მარადმწვანე,,,
daredevil,თავზე ხელაღებული,,,
nick,მოპარვა,არაფორმალური,,
blurt out,დაუფიქრებლად წამოიძახო რამე,,,
catch on,გაიგო რამე / გახდე პოპულარული,,,
come out,"გამოსვლა გასაყიდად, გახდე ცნობილი",,,
come out with,"თქვა რამე უეცრად, რაც გააოცებს ხალხს",,,
dry up,"შეწყვიტო ლაპარაკი იმის გამო, რომ დაგავიწყდა რას ამბობდი",,,
get across,გააგებინო ხალხს რამე,,,
get (a)round,გახმაურდეს რამე ამბავი,,,
get through (to),იყო დაკავშირებული ტელეფონით რამე ადგილთან. გააგებინო ვინმეს რის ახსნასაც ცდილობ.,,,
let on,ილაპარაკო ისეთ რამეზე რაც წესით საიდუმლო უნდა იყოს.,,,
pass on,"გადასცე, გადააწოდო",,,
put across,ადვილად გასაგებად ახსნა,,,
put over,ადვილად გასაგებად ახსნა,,,
set down,ჩანიშნო რამე პატარა ფურცელზე ოფიციალურად განაცხადო როგორ უნდა გაკეთდეს რაღაც.,,,
speak out,ამოიღო ხმა (გასაკრიტიკებლად ან ვინმეს დასაცავად),,,
talk over,განიხილო პრობლემა ან გეგმა,,,
talk round,დაითანხმო ვიღაც / ზედაპირულად განიხილო საკითხი,,,
"Let's assume, that","მოდი დავუშვათ, რომ",,,
nourishing substances,მკვებავი ნივთიერებები,,,
venomous,შხამიანი,,,
get hold of sth.,გაჩითო რამე,,,
stress sb. out,დასტრესო ვინმე,,,
win-win situation,ყველასთვის მომგებიანი სიტუაცია,,,
commit,ჩადენა,,,
commit adultery,უღალატო მეუღლეს,,,
rage,რისხვა,,,
road rage,საჭესთან ყოფნისას გაბრაზება,,,
prey,მსხვერპლი,,,
fall prey to sth.,გახდე რაღაცის მსხვერპლი,,,
a thank-you letter,სამადლობელი წერილი,,,
a wide range,ფართო სპექტრი,,,
a wide variaty,ფართო სპექტრი,,,
petty,წვრილმანი,,,
skimpy,მწირი,,,
crayon,პასტელი,,,
chisel,საჭრისი,,,
endeavour,"მონდომება, მისწრაფება, მცდელობა",,,
daunted,დაშინებული,,,
intimidated,შეშინებული,,,
welding,შედუღება,,,
outlet,"გამოსასვლელი; მაღაზია ან საწყობი; გამოხატვის საშუალება (ემოციების, ენერგიის)",,,
rug,ხალიჩა,,,
mat,ხალიჩა,,,
door mat,ფეხის გასაწმენდი კართან,,,
salmon,ორაგული,,,
tuna,თინუსი,,,
pay tribute,პატივი მიაგო; ხარკის გადახდა,,,
upbringing,აღზრდა,,,
distinction,"განსხვავება, სხვაობა, კონტრასტი",,,
raise money,შეაგროვო (მოიზიდო) ფული,,,
eloquence,მჭერმეტყველება,,,
bridge over the river,ხიდი მდინარეზე,,,
fall off a tree,ხიდან ჩამოვარდე,,,
on the ceiling,ჭერზე,,,
it proved to be,"აღმოჩნდა, რომ",,,
fall short by $10,დაგაკლდეს $10,,,
apart from this,გარდა ამისა,,,
handcuffs,ხელბორკილები,,,
early bird,ის ვინც ადრე იღვიძებს,,,1
lone wolf,ის ვისაც მარტო უყვარს რაღაცეების კეთება,,,1
party animal,ის ვისაც უყვარს გართობა,,,1
dark horse,"ადამიანი, რომელიც სულ გაოცებს",,,1
team player,გუნდური,,,1
culture vulture,ის ვისაც უყვარს კულტურა,,,1
night owl,ის ვისაც ღამე უყვარს საქმის კეთება,,,1
go-getter,"ამბიციური, მიზანდასახული ადამიანი",,,1
good egg,კარგი ტიპი,,,1
bad egg,ცუდი ტიპი,,,1
jack-of-all-trades,"ის ვისაც ყველაფერი კარგად გამოსდის, მაგრამ არცერთის სპეციალისტი არ არის",,,1
man (woman) of his (her) word,სიტყვის კაცი (ქალი),,,1
mover and shaker,"გავლენიანი, ლიდერული უნარების ადამიანი",,,1
smart cookie,ჭკვიანი ადამიანი,,,1
the teacher's pet,"საუკეთესო მოსწავლე, მასწავლებლის რჩეული",,,1
creature of habit,"ის ვინც მიყვება რუტინას, ჩვევებს",,,1
smooth talker,ის ვისაც კარგად გამოსდის ადამიანების დარწმუნება,,,1
busybody,ის ვინც სხვების ცხოვრებაში ერევა,,,1
cheapskate,"ძუნწი, ხელმომჭირნე",,,1
tightarse,"ძუნწი, ხელმომჭირნე",,,1
fuddy-duddy,"კონსერვატიული, ძველმოდური ადამიანი",,,1
goody-goody,ის ვინც ყოველთვის უნაკლოდ და სწორად იქცევა,,,1
know-it-all,"ვინც ფიქრობს, რომ ყველაფერი იცის",,,1
gold digger,ის ვინც ფულის გამო იწყებს ან არის ურთიერთობაში.,,,1
lucky duck,იღბლიანი (ადამიანი),,,1
party pooper,ის ვინც აფუჭებს სიტუაციას,,,1
penny-pincher,ის ვინც ეკონომიურად ხარჯავს ფულს,,,1
backseat driver,"ის ვინც სულ გასწავლის, როგორ ატარო მანქანა",,,1
almond,ნუში,,,
raisin,ქიშმიში,,,
grate,გახეხვა,,,
grater,სახეხი,,,
beat,"ათქვიფვა, აქაფება",,,
insects,მწერები,,,
bug,"პატარა ხოჭო, ბაღლინჯო",,,
bittle,ხოჭო,,,
grandfather clock,დიდი ავეჯის საათი,,,
empty-handed,ხელცარიელი,,,
lag begind,ჩამორჩე,,,
cinnamon,დარიჩინი,,,
squash,კვახი (გოგრა),,,
pomegranate,ბროწეული,,,
chopsticks,საჭმელი ჩხირები (აზიური),,,
garlicy smell,ნივრის სუნი,,,
I want to make a meal of it.,საჭმელი მინდა გავაკეთო ამისგან.,,,
eat your words,"აღიარო, რომ მართალი არ იყავი (უკან წაიღო სიტყვები)",,,1
Things went pear-shaped.,საქმეები ცუდად წავიდა.,,,1
2 bunches of grapes,2 მტევანი ყურძენი,,,
fable,იგავი,,,
a fish out of water,კომფორტის ზონიდან ან ჩვეული გარემოდან გასული ადამიანი,,,1
make a meal of it,"უფრო მეტი დრო დახარჯო რაღაცის კეთებაზე, ვიდრე საჭიროა",,,1
fishy,საეჭვო,,,
ladle,ჩამჩა,,,
sieve,საცერი,,,
have a memory like a sieve,იყო გულმავიწყი,,,1
steam,ორთქლი,,,
casserole,პატარა ქვაბი,,,
fat,ცხიმი,,,
whisk,სათქვეფი,,,
corkscrew,კორპსაძრობი,,,
spit,შამფური,,,
skewer,შამფური,,,
beetroot,ჭარხალი,,,
cashews,ქეშიუ,,,
lentils,ოსპი,,,
garlic crusher,ნივრის საჭყლეტი,,,
step into someone's shoes,გადაიბარო სხვისი საქმე ან თანამდებობა,,,1
lash out,მოულოდნელად თავს დაესხა ვინმეს გაბრაზებული,,,
lash out (sth),"დიდი ფული გადაყარო რამეში, გაფლანგო",,,
I appreciate you being here.,ვაფასებ შენს აქ ყოფნას.,,,
take sth. up,ახალი ჰობი გაიჩინო,,,
take sth. for granted,"არასათანადოდ დააფასო, რაც გაქვს",,,
It can lead you to sth.,ამან შეიძლება გამოიწვიოს რაღაც.,,,
infectious,ინფექციური,,,
stroke,ინსულტი,,,
